 13
 KATHMANDU    BHAKTAPUR    LALITPUR    KAVREPALANCHOWK 
 SINDHUPALCHOWK    DOLAKHA    RAMECHHAP    SINDHULI 
 MAKWANPUR    CHITWAN    DHADING    NUWAKOT    RASUWA
 0	13	7	39	40	0	0	0	88	0	45	26	0
13	0	12	14	0	0	0	0	0	0	0	0	0
7	12	0	25	0	0	0	0	38	0	0	0	0
39	14	25	0	24	51	62	61	48	0	0	0	0
40	0	0	24	0	48	62	0	0	0	0	53	51
0	0	0	51	48	0	53	0	0	0	0	0	0
0	0	0	62	62	53	0	20	0	0	0	0	0
0	0	0	61	0	0	20	0	84	0	0	0	0
88	0	38	48	0	0	0	84	0	72	59	0	0
0	0	0	0	0	0	0	0	72	0	60	0	0
45	0	0	0	0	0	0	0	59	60	0	23	44
26	0	0	0	53	0	0	0	0	0	23	0	27
0	0	0	0	51	0	0	0	0	0	44	27	0
